id;ordarwithname;ordar_id;status;ordar_date;amount;total_items;user_id
1;Clothing;89452;DELIVERED;2021-04-09T10:35:45;86681;68204;2
2;hybrid impactful;241;NOT_SHIPPED;2021-04-09T19:50:01;14460;86207;2
3;Legacy utilisation Timor-Leste;88148;INPROCESSING;2021-04-10T02:00:26;32923;5067;1
4;Legacy Kids;35375;NOT_SHIPPED;2021-04-09T09:43:33;28734;77702;1
5;Legacy;66796;DELIVERED;2021-04-09T19:26:27;26544;33044;1
6;Function-based;43749;INPROCESSING;2021-04-09T20:19:37;84184;9830;1
7;Stand-alone Point supply-chains;63871;NOT_SHIPPED;2021-04-09T17:44:02;85252;13755;1
8;Australian Dollar South Carolina;98532;DELIVERED;2021-04-10T01:58:08;33650;13883;1
9;Borders Director hacking;16330;NOT_SHIPPED;2021-04-09T20:29:21;36624;24405;1
10;Auto Loan Account Swaziland;75089;INPROCESSING;2021-04-09T07:20:54;29994;66199;2
