id;name;brand;status;ordar_date;price;quantity
1;Generic Steel Tuna;website calculating;OUT_OF_STOCK;2021-04-09T08:46:37;35091;34790
2;Chilean Peso Unidades de fomento Handmade Legacy;deposit Sri Lanka Rupee THX;OUT_OF_STOCK;2021-04-09T16:21:54;6255;13165
3;Credit Card Account;networks infomediaries;NOT_AVAILABLE;2021-04-09T15:54:59;91058;85179
4;intermediate withdrawal Bedfordshire;Credit Card Account;AVAILABLE;2021-04-09T20:03:50;69325;4329
5;Bike;digital;OUT_OF_STOCK;2021-04-09T18:01:47;20520;30106
6;Practical Data Identity;Dynamic auxiliary;AVAILABLE;2021-04-10T01:49:08;54741;15779
7;intangible homogeneous;Crossroad invoice;AVAILABLE;2021-04-09T23:12:18;14900;47207
8;Center Intelligent tangible;Checking Account methodical optical;OUT_OF_STOCK;2021-04-09T16:13:31;90340;80952
9;open-source;Computer efficient Sleek Soft Sausages;AVAILABLE;2021-04-09T04:06:52;19864;94541
10;application sticky brand;backing up;AVAILABLE;2021-04-10T01:23:37;93852;5859
